23518-77-6: Cr@[1],I@[4]
12053-27-9: Cr@[1],N@[1]
13548-38-4: Cr@[1],N@[3],O@[9]
12018-01-8: Cr@[1],O@[2]
1333-82-0: Cr@[1],O@[3]
7789-04-0: Cr@[1],P@[1],O@[4]
12053-13-3: Cr@[1],Se@[1]
1308-38-9: Cr@[2],O@[3]
10101-53-8: Cr@[2],S@[3],O@[12]
12018-22-3: Cr@[2],S@[3]
12053-39-3: Cr@[2],Te@[3]
12012-35-0: Cr@[3],C@[2]
12018-34-7: Cr@[3],O@[4]
92141-86-1: Cs@[1],B@[1],O@[2]
7787-69-1: Cs@[1],Br@[1]
13454-75-6: Cs@[1],Br@[1],O@[3]
21159-32-0: Cs@[1],C@[1],N@[1]
3399-17-5: Cs@[1],C@[2],H@[3],O@[2]
7647-17-8: Cs@[1],Cl@[1]
13763-67-2: Cs@[1],Cl@[1],O@[3]
13454-84-7: Cs@[1],Cl@[1],O@[4]
13400-13-0: Cs@[1],F@[1]
58724-12-2: Cs@[1],H@[1]
7789-17-5: Cs@[1],I@[1]
13454-81-4: Cs@[1],I@[1],O@[3]
13478-04-1: Cs@[1],I@[1],O@[4]
13456-28-5: Cs@[1],Mn@[1],O@[4]
22205-57-8: Cs@[1],N@[1],H@[2]
13454-83-6: Cs@[1],N@[1],O@[2]
7789-18-6: Cs@[1],N@[1],O@[3]
22750-57-8: Cs@[1],N@[3]
21351-79-1: Cs@[1],O@[1],H@[1]
12018-61-0: Cs@[1],O@[2]
14644-55-4: Cs@[1],V@[1],O@[3]
534-17-8: Cs@[2],C@[1],O@[3]
1068-63-9: Cs@[2],C@[2],O@[4]
15683-21-3: Cs@[2],Cd@[1],I@[4]
56320-90-2: Cs@[2],Cr@[1],O@[4]
13597-64-3: Cs@[2],Mo@[1],O@[4]
20281-00-9: Cs@[2],O@[1]
12053-70-2: Cs@[2],O@[2]
12214-16-3: Cs@[2],S@[1]
10294-54-9: Cs@[2],S@[1],O@[4]
31052-46-7: Cs@[2],Se@[1]
12191-06-9: Cs@[2],Te@[1]
13587-19-4: Cs@[2],W@[1],O@[4]
15158-68-6: Cs@[2],Zn@[1],I@[4]
14735-84-3: Cu@[1],B@[2],F@[8]
393290-85-2: Cu@[1],B@[2],O@[4]
7787-70-4: Cu@[1],Br@[1]
7789-45-9: Cu@[1],Br@[2]
544-19-4: Cu@[1],C@[2],H@[10],O@[8]
544-92-3: Cu@[1],C@[1],N@[1]
14763-77-0: Cu@[1],C@[2],N@[2]
1117-94-8: Cu@[1],C@[2]
598-54-9: Cu@[1],C@[2],H@[3],O@[2]
142-71-2: Cu@[1],C@[4],H@[6],O@[4]
814-91-5: Cu@[1],C@[2],O@[4]
660-60-6: Cu@[1],C@[32],H@[70],O@[4]
1120-44-1: Cu@[1],C@[36],H@[66],O@[4]
7758-89-6: Cu@[1],Cl@[1]
13770-18-8: Cu@[1],Cl@[2],O@[8]
7447-39-4: Cu@[1],Cl@[2]
10125-13-0: Cu@[1],Cl@[2],H@[4],O@[2]
13548-42-0: Cu@[1],Cr@[1],O@[4]
13478-41-6: Cu@[1],F@[1]
7789-19-7: Cu@[1],F@[2]
13517-00-5: Cu@[1],H@[1]
10290-12-7: Cu@[1],H@[1],As@[1],O@[3]
7681-65-4: Cu@[1],I@[1]
13767-34-5: Cu@[1],Mo@[1],O@[4]
3251-23-8: Cu@[1],N@[2],O@[6]
14336-80-2: Cu@[1],N@[3]
14215-30-6: Cu@[1],N@[6]
1317-38-0: Cu@[1],O@[1]
20427-59-2: Cu@[1],O@[2],H@[2]
1317-40-4: Cu@[1],S@[1]
1111-67-7: Cu@[1],S@[1],C@[1],N@[1]
7758-98-7: Cu@[1],S@[1],O@[4]
1317-41-5: Cu@[1],Se@[1]
12019-23-7: Cu@[1],Te@[1]
13587-35-4: Cu@[1],W@[1],O@[4]
1117-94-8: Cu@[2],C@[2]
13601-13-3: Cu@[2],Fe@[1],C@[6],N@[6]
1317-39-1: Cu@[2],O@[1]
10102-90-6: Cu@[2],P@[2],O@[7]
22205-45-4: Cu@[2],S@[1]
20405-64-5: Cu@[2],Se@[1]
12019-52-2: Cu@[2],Te@[1]
10103-61-4: Cu@[3],As@[2],O@[8]
: D@[2],O@[1]
12310-43-9: Dy@[1],B@[4]
83229-05-4: Dy@[1],Br@[2]
14456-48-5: Dy@[1],Br@[3]
3252-58-2: Dy@[1],C@[3],H@[3],O@[6]
13767-31-2: Dy@[1],Cl@[2]
10025-74-8: Dy@[1],Cl@[3]
13569-80-7: Dy@[1],F@[3]
13537-09-2: Dy@[1],H@[3]
36377-94-3: Dy@[1],I@[2]
15474-63-2: Dy@[1],I@[3]
12019-88-4: Dy@[1],N@[1]
12133-07-2: Dy@[1],Si@[2]
1308-87-8: Dy@[2],O@[3]
12133-10-7: Dy@[2],S@[3]
14373-91-2: Dy@[2],S@[3],O@[12]
10031-50-2: Dy@[2],S@[3],O@[20],H@[16]
20148-58-7: Dy@[2],Se@[3],O@[12]
13476-03-4: Dy@[2],Se@[3],O@[20],H@[16]
10143-38-1: Dy@[1],N@[3],O@[9]
35725-30-5: Dy@[1],N@[3],O@[15],H@[12]
12310-44-0: Er@[1],B@[4]
13536-73-7: Er@[1],Br@[3]
15331-72-3: Er@[1],C@[3],H@[3],O@[6]
10138-41-7: Er@[1],Cl@[3]
10025-75-9: Er@[1],Cl@[3],H@[12],O@[6]
13760-83-3: Er@[1],F@[3]
13550-53-3: Er@[1],H@[3]
13813-42-8: Er@[1],I@[3]
12020-21-2: Er@[1],N@[1]
12061-00-6: Er@[1],Nb@[1],O@[4]
12159-66-9: Er@[1],S@[1]
12020-39-2: Er@[1],Te@[1]
13596-17-3: Er@[1],V@[1],O@[4]
12061-16-4: Er@[2],O@[3]
13478-49-4: Er@[2],S@[3],O@[12]
12159-66-9: Er@[2],S@[3]
12020-39-2: Er@[2],Te@[3]
70292-43-2: Es@[1],Br@[2]
72461-17-7: Es@[1],Br@[3]
66693-95-6: Es@[1],Cl@[2]
24645-86-1: Es@[1],Cl@[3]
99644-27-6: Es@[1],F@[3]
70292-44-3: Es@[1],I@[2]
99644-28-7: Es@[1],I@[3]
37362-94-0: Es@[2],O@[3]
13780-48-8: Eu@[1],Br@[2]
13759-88-1: Eu@[1],Br@[3]
3252-55-9: Eu@[1],C@[3],H@[3],O@[6]
13769-20-5: Eu@[1],Cl@[2]
10025-76-0: Eu@[1],Cl@[3]
14077-39-5: Eu@[1],F@[2]
13765-25-8: Eu@[1],F@[3]
